	I	pval_norm	var_norm	pval_norm_fdr_bh
RPL9	0.021866241818873623	0.0	4.544198643041706e-08	0.0
PNRC1	0.021722993250110244	0.0	4.544198643041706e-08	0.0
RALGPS2	0.021626868299807537	0.0	4.544198643041706e-08	0.0
RPL28	0.021490811223135124	0.0	4.544198643041706e-08	0.0
PDIA4	0.02137737016560413	0.0	4.544198643041706e-08	0.0
FCGR2B	0.021345671103273223	0.0	4.544198643041706e-08	0.0
RPL3	0.021318066394288366	0.0	4.544198643041706e-08	0.0
SYK	0.02129813316564159	0.0	4.544198643041706e-08	0.0
CYBA	0.02112035462607927	0.0	4.544198643041706e-08	0.0
CYTOR	0.02099726688452857	0.0	4.544198643041706e-08	0.0
IGHG2	0.02099124720827163	0.0	4.544198643041706e-08	0.0
RPS4X	0.0209477692950692	0.0	4.544198643041706e-08	0.0
TXNIP	0.02094410627897	0.0	4.544198643041706e-08	0.0
FAU	0.020788325618205067	0.0	4.544198643041706e-08	0.0
FYB1	0.020720430457321193	0.0	4.544198643041706e-08	0.0
CAPG	0.020711676801597818	0.0	4.544198643041706e-08	0.0
TNFRSF13B	0.020683805386344612	0.0	4.544198643041706e-08	0.0
CD3G	0.02068055839188892	0.0	4.544198643041706e-08	0.0
LMAN1	0.020664725946699825	0.0	4.544198643041706e-08	0.0
SEC61B	0.02054722606728821	0.0	4.544198643041706e-08	0.0
EAF2	0.02054602035566484	0.0	4.544198643041706e-08	0.0
IGHG3	0.020475393018769723	0.0	4.544198643041706e-08	0.0
NOP53	0.020466269291933948	0.0	4.544198643041706e-08	0.0
GGH	0.020424566304817378	0.0	4.544198643041706e-08	0.0
FTH1	0.020369072397453263	0.0	4.544198643041706e-08	0.0
RPL41	0.02028749947998169	0.0	4.544198643041706e-08	0.0
SCIMP	0.020228910477313535	0.0	4.544198643041706e-08	0.0
RPL36	0.020120099832038663	0.0	4.544198643041706e-08	0.0
TCF7	0.020020130298835766	0.0	4.544198643041706e-08	0.0
SPCS2	0.020019473742356773	0.0	4.544198643041706e-08	0.0
RPS6	0.020012594319323757	0.0	4.544198643041706e-08	0.0
FGD2	0.019978654566284625	0.0	4.544198643041706e-08	0.0
ZAP70	0.019856124607743615	0.0	4.544198643041706e-08	0.0
RPL12	0.019841453216787278	0.0	4.544198643041706e-08	0.0
COBLL1	0.019821492008927768	0.0	4.544198643041706e-08	0.0
TYMS	0.019775491866582184	0.0	4.544198643041706e-08	0.0
SPAG4	0.019750693996509933	0.0	4.544198643041706e-08	0.0
LEF1	0.01973503306613771	0.0	4.544198643041706e-08	0.0
KDELR2	0.01969566016975872	0.0	4.544198643041706e-08	0.0
SKAP1	0.019657354039930176	0.0	4.544198643041706e-08	0.0
BLNK	0.019598606306117834	0.0	4.544198643041706e-08	0.0
ATP5MC1	0.019505435700830815	0.0	4.544198643041706e-08	0.0
C12orf57	0.019501177813225235	0.0	4.544198643041706e-08	0.0
CTSS	0.019496628333178084	0.0	4.544198643041706e-08	0.0
RPL18	0.019447380777869453	0.0	4.544198643041706e-08	0.0
LINC01781	0.01944005285812966	0.0	4.544198643041706e-08	0.0
TSC22D3	0.019421456525216957	0.0	4.544198643041706e-08	0.0
ADAM28	0.019311408675363222	0.0	4.544198643041706e-08	0.0
EEF1D	0.019304855567981713	0.0	4.544198643041706e-08	0.0
NPC2	0.019274343875678834	0.0	4.544198643041706e-08	0.0
FCER1G	0.019218665232889495	0.0	4.544198643041706e-08	0.0
RPS4Y1	0.019149805199496727	0.0	4.544198643041706e-08	0.0
RPL29	0.019080149556790164	0.0	4.544198643041706e-08	0.0
SPCS3	0.01901062816302923	0.0	4.544198643041706e-08	0.0
ENSG00000285417.1	0.01894549863324477	0.0	4.544198643041706e-08	0.0
TOMM7	0.01891944601114555	0.0	4.544198643041706e-08	0.0
HDLBP	0.018886415235393576	0.0	4.544198643041706e-08	0.0
CLPTM1L	0.01887631966138552	0.0	4.544198643041706e-08	0.0
HSPA5	0.018815065728915708	0.0	4.544198643041706e-08	0.0
CD22	0.018772040075004777	0.0	4.544198643041706e-08	0.0
TENT5C	0.01876343933472242	0.0	4.544198643041706e-08	0.0
CST3	0.01870408494730191	0.0	4.544198643041706e-08	0.0
RPS15	0.018668999186376427	0.0	4.544198643041706e-08	0.0
SRGN	0.018623119577453027	0.0	4.544198643041706e-08	0.0
RPS19	0.018604850833284333	0.0	4.544198643041706e-08	0.0
CRELD2	0.01858943555766929	0.0	4.544198643041706e-08	0.0
RPL5	0.018585517487035578	0.0	4.544198643041706e-08	0.0
EIF1	0.01857960178555512	0.0	4.544198643041706e-08	0.0
MT-ND3	0.018539672280572916	0.0	4.544198643041706e-08	0.0
ISG20	0.01852634617477042	0.0	4.544198643041706e-08	0.0
