	I	pval_norm	var_norm	pval_norm_fdr_bh
ENSG00000150093	0.06019541534774364	0.0	1.7309493467875537e-08	0.0
ENSG00000142192	0.060101617869428	0.0	1.7309493467875537e-08	0.0
ENSG00000128228	0.059928941791390085	0.0	1.7309493467875537e-08	0.0
ENSG00000074181	0.059907705265001984	0.0	1.7309493467875537e-08	0.0
ENSG00000066923	0.059738640412500266	0.0	1.7309493467875537e-08	0.0
ENSG00000174099	0.059734406429796924	0.0	1.7309493467875537e-08	0.0
ENSG00000163682	0.05971290012839827	0.0	1.7309493467875537e-08	0.0
ENSG00000110651	0.05957177702191338	0.0	1.7309493467875537e-08	0.0
ENSG00000123349	0.05944607871527557	0.0	1.7309493467875537e-08	0.0
ENSG00000164587	0.05941106056539511	0.0	1.7309493467875537e-08	0.0
ENSG00000148175	0.05925986443327679	0.0	1.7309493467875537e-08	0.0
ENSG00000172809	0.05919424569825198	0.0	1.7309493467875537e-08	0.0
ENSG00000136156	0.059149821737133644	0.0	1.7309493467875537e-08	0.0
ENSG00000100345	0.058980304299414144	0.0	1.7309493467875537e-08	0.0
ENSG00000163131	0.058490965012763504	0.0	1.7309493467875537e-08	0.0
ENSG00000159840	0.058462266495028045	0.0	1.7309493467875537e-08	0.0
ENSG00000185624	0.05831239792789009	0.0	1.7309493467875537e-08	0.0
ENSG00000188404	0.058153811983953335	0.0	1.7309493467875537e-08	0.0
ENSG00000088986	0.05815153858013653	0.0	1.7309493467875537e-08	0.0
ENSG00000211897	0.05802848628285801	0.0	1.7309493467875537e-08	0.0
ENSG00000196683	0.05802208693952647	0.0	1.7309493467875537e-08	0.0
ENSG00000118680	0.057981788244153676	0.0	1.7309493467875537e-08	0.0
ENSG00000186468	0.0579242057496821	0.0	1.7309493467875537e-08	0.0
ENSG00000123131	0.057812179385582065	0.0	1.7309493467875537e-08	0.0
ENSG00000145425	0.05765971641825543	0.0	1.7309493467875537e-08	0.0
ENSG00000142676	0.05759529109776439	0.0	1.7309493467875537e-08	0.0
ENSG00000159176	0.057525690351805554	0.0	1.7309493467875537e-08	0.0
ENSG00000120738	0.05731279879719497	0.0	1.7309493467875537e-08	0.0
ENSG00000178607	0.05715985414079236	0.0	1.7309493467875537e-08	0.0
ENSG00000120896	0.056972576077945994	0.0	1.7309493467875537e-08	0.0
ENSG00000157110	0.05680861276460462	0.0	1.7309493467875537e-08	0.0
ENSG00000155629	0.05679206470870814	0.0	1.7309493467875537e-08	0.0
ENSG00000197958	0.05675279879055818	0.0	1.7309493467875537e-08	0.0
ENSG00000189129	0.05656658739412732	0.0	1.7309493467875537e-08	0.0
ENSG00000143297	0.05652758081822888	0.0	1.7309493467875537e-08	0.0
ENSG00000129824	0.0564483924064561	0.0	1.7309493467875537e-08	0.0
ENSG00000126353	0.056408876598781035	0.0	1.7309493467875537e-08	0.0
ENSG00000196924	0.056267002758185906	0.0	1.7309493467875537e-08	0.0
ENSG00000118181	0.05610440576832193	0.0	1.7309493467875537e-08	0.0
ENSG00000143933	0.05594047476814642	0.0	1.7309493467875537e-08	0.0
ENSG00000088832	0.055939775986575464	0.0	1.7309493467875537e-08	0.0
ENSG00000174059	0.05574636074664693	0.0	1.7309493467875537e-08	0.0
ENSG00000145012	0.055743928837467836	0.0	1.7309493467875537e-08	0.0
ENSG00000169504	0.055516272611051735	0.0	1.7309493467875537e-08	0.0
ENSG00000213741	0.055288351788141225	0.0	1.7309493467875537e-08	0.0
ENSG00000104870	0.05528308524806723	0.0	1.7309493467875537e-08	0.0
ENSG00000124942	0.05527627276516993	0.0	1.7309493467875537e-08	0.0
ENSG00000072818	0.05495940590913258	0.0	1.7309493467875537e-08	0.0
ENSG00000110799	0.05490408196836785	0.0	1.7309493467875537e-08	0.0
ENSG00000115468	0.05478050962099639	0.0	1.7309493467875537e-08	0.0
ENSG00000151491	0.054734668011300364	0.0	1.7309493467875537e-08	0.0
ENSG00000143870	0.05473227778953784	0.0	1.7309493467875537e-08	0.0
ENSG00000188243	0.05468325425094207	0.0	1.7309493467875537e-08	0.0
ENSG00000185650	0.05467659514962124	0.0	1.7309493467875537e-08	0.0
ENSG00000114850	0.05463537062608064	0.0	1.7309493467875537e-08	0.0
ENSG00000137076	0.05461382601493972	0.0	1.7309493467875537e-08	0.0
ENSG00000119866	0.054302488061447544	0.0	1.7309493467875537e-08	0.0
ENSG00000152583	0.05429226203800019	0.0	1.7309493467875537e-08	0.0
ENSG00000124762	0.054151585321163605	0.0	1.7309493467875537e-08	0.0
ENSG00000182871	0.054076583125665975	0.0	1.7309493467875537e-08	0.0
ENSG00000143119	0.05404210195824542	0.0	1.7309493467875537e-08	0.0
ENSG00000152518	0.053791933997335346	0.0	1.7309493467875537e-08	0.0
ENSG00000198763	0.0537700141387942	0.0	1.7309493467875537e-08	0.0
ENSG00000106415	0.05362793810012681	0.0	1.7309493467875537e-08	0.0
ENSG00000187479	0.05349290052104752	0.0	1.7309493467875537e-08	0.0
ENSG00000057657	0.053476820945493324	0.0	1.7309493467875537e-08	0.0
ENSG00000131711	0.053469796889541836	0.0	1.7309493467875537e-08	0.0
ENSG00000130066	0.05341009529879937	0.0	1.7309493467875537e-08	0.0
ENSG00000155660	0.053407900818573946	0.0	1.7309493467875537e-08	0.0
ENSG00000102445	0.05332511414641039	0.0	1.7309493467875537e-08	0.0
ENSG00000170323	0.05321575568397844	0.0	1.7309493467875537e-08	0.0
ENSG00000172757	0.05318024902586345	0.0	1.7309493467875537e-08	0.0
ENSG00000125968	0.05308052048387567	0.0	1.7309493467875537e-08	0.0
ENSG00000198840	0.052896734525654014	0.0	1.7309493467875537e-08	0.0
ENSG00000104921	0.05283992627919754	0.0	1.7309493467875537e-08	0.0
ENSG00000100300	0.0528108097175494	0.0	1.7309493467875537e-08	0.0
ENSG00000204257	0.0527804311725972	0.0	1.7309493467875537e-08	0.0
ENSG00000100365	0.05268302914226327	0.0	1.7309493467875537e-08	0.0
ENSG00000147403	0.05246190042028294	0.0	1.7309493467875537e-08	0.0
ENSG00000185551	0.05243745348977065	0.0	1.7309493467875537e-08	0.0
ENSG00000177455	0.05241853289369947	0.0	1.7309493467875537e-08	0.0
ENSG00000071127	0.0523362469672675	0.0	1.7309493467875537e-08	0.0
ENSG00000135404	0.05231936049989519	0.0	1.7309493467875537e-08	0.0
ENSG00000073712	0.052271683230853946	0.0	1.7309493467875537e-08	0.0
ENSG00000172889	0.0522169331011555	0.0	1.7309493467875537e-08	0.0
ENSG00000135821	0.0521168218361822	0.0	1.7309493467875537e-08	0.0
ENSG00000211893	0.051937555521564045	0.0	1.7309493467875537e-08	0.0
